mode,weight_quantization_mode,queries,hits@1,hits@3,hits@5,hits@10,hits@20,mrr,mr,gpu_peak_allocated_mb_eval,queries_per_second,seconds,entity_cache_seconds,quantized_linear_layers,quantized_linear_params,run_success,notes
text_image_tokens_int4_weights_int8_limit_200_tglu_tile_250,int8,200,0.97,0.99,0.995,0.995,0.995,0.9810000873133677,287.36,1921.69482421875,16.7544090881982,11.937156300002243,96.24500630001421,163,123772192,True,all nn.Linear weights quantized then dequantized for fp32 execution
text_image_tokens_int4_weights_int4_limit_200_tglu_tile_250,int4,200,0.975,0.99,0.99,0.99,0.99,0.982505590276741,327.715,1923.27685546875,16.782359779710564,11.917275199986761,97.29320450001978,163,123772192,True,all nn.Linear weights quantized then dequantized for fp32 execution
